2019-11-26,BE5613,85405.95
2019-11-26,YR3217,79919.70
2019-11-26,YR8837,76948.20
2019-11-26,BE1054,75987.45
2019-11-26,YR4098,75376.35
2019-11-26,YR6068,73696.35
2019-11-26,BE5092,73650.15
2019-11-26,YR8129,72981.30
2019-11-26,YR8558,72622.20
2019-11-26,YR5190,71894.55
2019-11-26,BE2494,71685.60
2019-11-26,BE4797,70487.55
2019-11-26,YR5698,69658.05
2019-11-26,YR6095,69319.95
2019-11-26,BE9667,68293.05
2019-11-26,BE9002,67996.95
2019-11-26,OJ5085,67869.00
2019-11-26,BE3466,67522.35
2019-11-26,GQ5324,67252.50
2019-11-26,XV5324,67252.50
2019-11-26,BE9628,66771.60
2019-11-26,BE3513,66384.15
2019-11-26,BE3684,66064.95
2019-11-26,OJ2536,65294.10
2019-11-26,XV1054,65132.10
2019-11-26,BE2612,63626.85
2019-11-26,BE9451,63595.35
2019-11-26,XV4868,62988.30
2019-11-26,OJ5865,62964.00
2019-11-26,BE2889,62354.25
2019-11-26,OJ9992,62294.40
2019-11-26,OJ8558,62247.60
2019-11-26,GQ8275,61830.00
2019-11-26,XV6314,61364.70
2019-11-26,YR2955,61292.70
2019-11-26,BE6167,61202.40
2019-11-26,XV3949,60877.80
2019-11-26,XV7687,60780.60
2019-11-26,GQ9387,60545.70
2019-11-26,YR6083,60422.25
2019-11-26,XV4797,60417.90
2019-11-26,OJ9732,60363.00
2019-11-26,BE5386,60054.75
2019-11-26,GQ9568,59941.80
2019-11-26,XV9568,59941.80
2019-11-26,OJ1343,59483.70
2019-11-26,GQ1780,59456.70
2019-11-26,XV1780,59456.70
2019-11-26,GQ6095,59417.10
2019-11-26,YR7220,59406.90
2019-11-26,YR4226,59326.05
2019-11-26,YR7896,59185.35
2019-11-26,OJ4468,58959.90
2019-11-26,GQ6177,57900.60
2019-11-26,XV6177,57900.60
2019-11-26,XV7397,57753.90
2019-11-26,OJ9269,56749.50
2019-11-26,YR4165,56604.45
2019-11-26,BE9225,56449.05
2019-11-26,OJ7306,56416.50
2019-11-26,BE6693,56318.85
2019-11-26,XV4304,56304.00
2019-11-26,BE3766,56249.55
2019-11-26,YR5986,56242.20
2019-11-26,GQ5488,56009.70
2019-11-26,XV5488,56009.70
2019-11-26,YR5005,55263.60
2019-11-26,OJ3183,54910.80
2019-11-26,OJ9922,54879.30
2019-11-26,GQ9784,54712.80
2019-11-26,XV9784,54712.80
2019-11-26,GQ8531,54274.50
2019-11-26,XV8531,54274.50
2019-11-26,GQ7785,54113.40
2019-11-26,XV7785,54113.40
2019-11-26,YR4591,54042.45
2019-11-26,XV2889,53446.50
2019-11-26,GQ4721,53398.80
2019-11-26,XV4721,53398.80
2019-11-26,GQ4211,53154.90
2019-11-26,XV4211,53154.90
2019-11-26,OJ7592,53035.20
2019-11-26,BE5249,53027.10
2019-11-26,YR1475,52600.80
2019-11-26,OJ2955,52536.60
2019-11-26,GQ8391,52451.10
2019-11-26,XV8391,52451.10
2019-11-26,XV8870,51527.70
2019-11-26,GQ8870,51527.70
2019-11-26,OJ4886,51414.30
2019-11-26,XV7837,50833.80
2019-11-26,GQ8207,50751.90
2019-11-26,GQ7896,50730.30
2019-11-26,XV6365,50670.00
2019-11-26,GQ1461,50352.30
2019-11-26,XV1461,50352.30
2019-11-26,OJ6529,49427.10
2019-11-26,OJ3977,49342.50
2019-11-26,GQ2163,49263.30
2019-11-26,XV2163,49263.30
2019-11-26,YR1845,48524.70
2019-11-26,XV6693,48273.30
2019-11-26,XV3766,48213.90
2019-11-26,XV4758,47985.30
2019-11-26,XV3375,47484.00
2019-11-26,GQ3360,47421.90
2019-11-26,XV3360,47421.90
2019-11-26,OJ5005,47368.80
2019-11-26,GQ3106,46996.20
2019-11-26,GQ3700,46989.90
2019-11-26,OJ9422,46426.50
2019-11-26,BE4691,46051.95
2019-11-26,GQ4201,45939.60
2019-11-26,YR1632,45549.00
2019-11-26,XV5249,45451.80
2019-11-26,YR1393,45396.75
2019-11-26,YR8834,44894.85
2019-11-26,GQ3170,44890.20
2019-11-26,YR8867,44010.75
2019-11-26,BE8164,43717.80
2019-11-26,YR2692,43431.15
2019-11-26,YR8473,43350.30
2019-11-26,YR4368,43073.10
2019-11-26,BE7495,42973.35
2019-11-26,YR5253,42788.55
2019-11-26,GQ7388,42054.30
2019-11-26,XV7388,42054.30
2019-11-26,OJ5020,42006.60
2019-11-26,BE1377,41192.55
2019-11-26,YR8737,40527.90
2019-11-26,BE2437,40107.90
2019-11-26,GQ5000,39991.50
2019-11-26,XV5000,39991.50
2019-11-26,OJ2470,39851.10
2019-11-26,XV3613,39790.80
2019-11-26,BE7565,39107.25
2019-11-26,YR8930,39089.40
2019-11-26,OJ1393,38911.50
2019-11-26,GQ7679,38736.00
2019-11-26,XV7679,38736.00
2019-11-26,OJ8445,38601.90
2019-11-26,BE4659,37782.15
2019-11-26,OJ1674,37760.40
2019-11-26,OJ8867,37723.50
2019-11-26,BE1512,37723.35
2019-11-26,OJ2461,37588.50
2019-11-26,GQ3587,37341.90
2019-11-26,YR6219,36921.15
2019-11-26,GQ4368,36919.80
2019-11-26,GQ1372,36636.30
2019-11-26,OJ2039,36258.30
2019-11-26,XV2437,34378.20
2019-11-26,OJ8079,33869.70
2019-11-26,GQ9524,32489.10
2019-11-26,OJ8807,28940.40
